Description,Amount,Date
Electricity Bill,3000,2025-11-10
Internet Bill,1200,2024-11-05
Dining Out,2000,2024-10-20
Fuel,2500,2024-10-15
Gym Membership,1500,2024-09-01
Movie Night,800,2024-09-18
Groceries,5000,2024-09-15
Rent,12000,2024-09-10
Electricity Bill,3100,2025-12-10
Internet Bill,1300,2024-12-05
Dining Out,2500,2024-11-25
Fuel,2700,2024-11-20
Gym Membership,1500,2024-10-01
Movie Night,900,2024-10-15
Groceries,5200,2024-10-10
Rent,12000,2024-10-05
Shopping,4500,2024-09-25
Medical Expenses,3500,2024-09-20
Car Maintenance,6000,2024-09-12
Electricity Bill,2900,2024-08-10
Internet Bill,1200,2024-08-05
Dining Out,1800,2024-08-01
Fuel,2400,2024-07-25
Groceries,4900,2024-07-15
Travel,15000,2024-07-01
Charity,2000,2024-06-10
Streaming Subscription,500,2024-05-15
Pet Supplies,1200,2024-05-10
Phone Bill,800,2024-05-05
Home Maintenance,8000,2024-04-25
Vacation,20000,2024-04-10
Electronics Purchase,15000,2024-03-30
Clothing,4000,2024-03-15
Dining Out,2500,2024-03-10
Fuel,2700,2024-03-05
Rent,12000,2024-03-01
Electricity Bill,3100,2024-02-25
Internet Bill,1400,2024-02-20
Movie Night,700,2024-02-15
Groceries,5300,2024-02-10
Furniture Purchase,18000,2024-01-25
Water Bill,1500,2023-12-25
Christmas Gifts,7000,2023-12-20
New Year's Party,10000,2023-12-15
Fuel,2600,2023-12-10
Groceries,5100,2023-12-05
Rent,12000,2023-12-01
Electricity Bill,3000,2023-11-25
Internet Bill,1200,2023-11-20
Dining Out,2200,2023-11-15
Gym Membership,1500,2023-11-10
House Cleaning,3000,2023-11-05
Laptop Repair,5000,2023-10-25
Entertainment Event,2500,2023-10-20
Groceries,5000,2023-10-15
Fuel,2400,2023-10-10
Rent,12000,2023-10-05
Electricity Bill,2800,2023-09-25
Internet Bill,1100,2023-09-20
Health Supplements,1800,2023-09-15
Dining Out,2100,2023-09-10
Groceries,4800,2023-09-05
Home Improvement,12000,2023-08-25
Travel,14000,2023-08-10
Gifts,3500,2023-08-01
